29,48,52,58,60,66,7:0.86
29,36,40,52,60,62,66:0.86
29,34,36,40,52,58,60:0.90
34,36,40,52,58,60,62:0.86
29,34,36,40,52,58,62:0.87
29,36,48,52,58,60,7:0.88
29,34,36,52,56,58,60:0.85
29,36,52,56,58,60,62:0.86
34,36,40,52,58,60,66:0.86
29,34,36,40,52,58,66:0.86
29,40,58,60,62,66,7:0.86
29,34,40,52,58,60,7:0.89
29,36,52,56,58,60,66:0.86
29,40,48,58,60,62,66:0.85
29,36,40,52,58,60,7:0.90
36,40,52,56,58,60,7:0.86
29,34,40,52,58,62,7:0.87
29,34,36,40,52,60,62:0.86
29,34,40,5,58,60,7:0.85
29,34,40,56,58,60,7:0.85
29,36,40,52,58,62,7:0.88
29,40,52,56,58,62,66:0.85
29,34,40,52,58,66,7:0.86
29,36,48,5,52,58,60:0.85
29,36,40,56,58,60,7:0.86
29,34,36,40,52,58,7:0.88
40,48,52,58,60,62,66:0.85
29,34,36,40,52,60,66:0.86
29,36,40,52,58,66,7:0.87
29,34,36,52,58,60,62:0.86
29,34,36,40,58,60,62:0.86
29,34,40,48,52,58,60:0.87
29,36,40,48,52,56,60:0.86
29,34,40,5,52,58,60:0.88
29,34,36,52,58,60,66:0.87
29,34,36,40,58,60,66:0.86
29,36,40,5,52,58,60:0.87
29,34,5,52,58,60,62:0.85
29,34,40,5,52,58,62:0.86
29,34,52,58,60,62,7:0.86
29,36,40,5,52,58,62:0.85
34,40,52,58,60,62,7:0.86
29,48,52,58,60,62,66:0.85
29,34,5,52,58,60,66:0.86
29,34,40,5,52,58,66:0.85
29,36,52,58,60,62,7:0.87
34,40,5,52,58,60,66:0.85
29,34,40,52,56,58,60:0.88
29,36,5,52,58,60,66:0.85
29,34,52,58,60,66,7:0.87
34,40,52,58,60,66,7:0.86
29,34,52,58,60,62,66:0.86
29,36,40,48,5,52,58:0.85
29,34,36,40,5,58,60:0.85
29,34,40,52,56,58,62:0.87
29,36,52,58,60,66,7:0.87
29,34,36,40,58,60,7:0.86
29,40,52,58,60,62,66:0.89
29,34,40,5,52,60,66:0.85
29,34,40,56,58,60,62:0.85
29,34,40,5,58,60,62:0.85
29,40,52,56,58,60,7:0.89
29,40,56,58,60,62,66:0.86
29,34,36,40,48,58,60:0.87
29,34,40,52,56,60,62:0.85
29,40,52,56,58,62,7:0.87
29,34,40,52,58,60,62:0.89
29,34,40,5,58,60,66:0.85
29,40,48,52,56,58,60:0.87
29,36,40,52,58,62,66:0.86
29,40,48,52,60,66,7:0.85
29,34,36,40,52,56,58:0.86
29,34,40,52,58,60,66:0.89
34,36,40,52,58,60,7:0.86
29,40,48,58,60,66,7:0.85
29,34,48,52,58,60,66:0.85
29,40,52,58,62,66,7:0.86
29,40,48,52,58,60,62:0.88
29,36,40,48,52,60,7:0.88
29,36,40,5,52,58,7:0.85
29,36,40,58,60,62,66:0.87
29,40,48,52,58,60,66:0.89
40,52,56,58,60,62,7:0.86
34,40,52,58,60,62,66:0.86
34,36,40,5,52,58,60:0.85
36,40,52,58,60,62,66:0.87
40,52,56,58,60,66,7:0.85
36,40,48,52,58,60,7:0.88
29,40,5,52,58,60,7:0.87
29,34,36,52,58,60,7:0.87
29,34,40,52,60,62,66:0.86
29,40,5,52,58,62,7:0.85
36,40,48,52,56,58,60:0.86
29,34,52,56,58,60,62:0.86
29,34,52,56,58,60,66:0.85
29,34,52,56,58,60,7:0.86
29,40,52,56,58,60,62:0.89
34,40,52,56,58,60,7:0.85
29,36,40,52,56,60,7:0.86
29,40,52,60,62,66,7:0.86
29,34,36,40,5,52,58:0.86
29,36,52,56,58,60,7:0.86
29,34,36,5,52,58,60:0.86
29,36,40,48,52,58,60:0.91
29,40,52,56,58,60,66:0.88
29,52,56,58,60,62,7:0.87
29,36,48,52,60,66,7:0.85
29,36,40,48,52,58,62:0.88
40,52,58,60,62,66,7:0.86
36,40,48,52,58,60,62:0.88
29,36,40,48,56,58,60:0.86
29,34,40,52,60,62,7:0.86
29,52,56,58,60,66,7:0.86
29,36,40,52,60,62,7:0.87
29,36,40,48,52,58,66:0.88
29,34,36,40,48,52,58:0.87
25,29,36,40,52,58,60:0.85
36,40,48,52,58,60,66:0.88
29,36,48,58,60,66,7:0.85
36,40,52,58,60,62,7:0.87
29,34,40,52,60,66,7:0.86
29,34,40,58,60,62,7:0.86
29,36,40,52,60,66,7:0.87
29,36,40,52,56,58,60:0.89
29,36,40,48,52,60,62:0.87
40,52,56,58,60,62,66:0.86
29,40,48,52,58,60,7:0.88
29,36,52,58,60,62,66:0.87
29,36,40,58,60,62,7:0.87
36,40,52,58,60,66,7:0.87
29,36,40,52,56,58,62:0.87
29,34,40,58,60,66,7:0.86
29,40,48,52,58,62,7:0.85
29,36,40,48,52,60,66:0.88
29,36,40,58,60,66,7:0.87
29,36,40,48,52,58,7:0.88
29,36,40,48,58,60,62:0.88
29,40,48,52,58,66,7:0.85
29,36,48,52,56,58,60:0.87
29,36,40,56,58,60,62:0.86
36,48,52,58,60,66,7:0.85
29,40,52,56,60,62,66:0.85
29,40,5,52,56,58,60:0.85
29,36,40,48,58,60,66:0.88
29,36,40,52,56,60,62:0.86
34,40,52,56,58,60,62:0.85
29,52,56,58,60,62,66:0.86
29,34,36,40,52,60,7:0.86
29,36,40,52,58,60,62:0.90
29,52,58,60,62,66,7:0.86
29,40,48,5,52,58,60:0.85
29,36,40,56,58,60,66:0.85
36,40,52,56,58,60,62:0.86
34,36,40,48,52,58,60:0.87
40,48,52,58,60,66,7:0.85
29,36,40,52,58,60,66:0.90
36,40,52,56,58,60,66:0.85
29,34,40,52,58,62,66:0.86
29,34,36,40,48,52,60:0.87
29,40,56,58,60,62,7:0.86
29,36,48,52,58,60,62:0.88
29,36,40,48,58,60,7:0.88
29,40,5,52,58,60,62:0.87
29,40,52,56,60,62,7:0.86
29,40,52,58,60,62,7:0.90
29,40,56,58,60,66,7:0.85
29,36,48,52,58,60,66:0.88
29,34,40,52,56,58,7:0.86
29,40,52,56,60,66,7:0.85
29,40,5,52,58,60,66:0.87
29,36,40,52,56,58,7:0.87
29,40,52,58,60,66,7:0.90
29,34,36,48,52,58,60:0.87
29,36,40,48,52,56,58:0.87
29,34,40,5,52,58,7:0.86
29,34,5,52,58,60,7:0.85
29,34,40,58,60,62,66:0.86
