29,34,40,52,58,60,62,66:0.86
29,36,40,52,58,60,62,66:0.86
29,40,48,52,58,60,66,7:0.85
29,36,40,48,52,56,58,60:0.86
29,36,40,48,52,58,60,62:0.87
29,36,40,48,52,58,60,66:0.88
29,40,52,56,58,60,62,66:0.85
29,36,40,52,56,58,60,7:0.86
29,34,40,52,56,58,60,62:0.85
29,36,40,52,56,58,60,62:0.86
29,34,36,40,48,52,58,60:0.87
29,34,40,52,58,60,62,7:0.86
29,34,40,5,52,58,60,66:0.85
29,34,40,52,58,60,66,7:0.86
29,34,36,40,52,58,60,62:0.86
29,34,36,40,52,58,60,66:0.86
29,34,36,40,52,58,60,7:0.86
29,40,52,56,58,60,62,7:0.86
29,36,40,48,52,58,60,7:0.88
29,40,52,58,60,62,66,7:0.86
29,36,40,52,58,60,62,7:0.87
29,36,40,52,58,60,66,7:0.87
